Date,Fruit,Freshness_Score,Spoilage_Status,Units_Sold,Price_per_Unit,Store_ID,City,Distributor,Delivery_Delay_Days,Revenue,Spoiled_Flag
2025-03-18,Pineapple,0.44,Not Fresh,16,1.35,ST004,Bangalore,FruityFast,3,21.6,1
2025-03-13,Apple,0.43,Not Fresh,36,4.38,ST004,Bangalore,DistriFresh,4,157.68,1
2025-01-06,Pineapple,0.8,Fresh,86,4.16,ST004,Mumbai,QuickHarvest,5,357.76,0
2025-03-21,Pineapple,1.0,Fresh,106,2.54,ST004,Delhi,FruityFast,2,269.24,0
2025-01-07,Pineapple,0.74,Fresh,84,2.8,ST002,Delhi,QuickHarvest,2,235.2,0
2025-01-26,Apple,0.98,Fresh,118,3.52,ST001,Bangalore,FruityFast,1,415.36,0
2025-03-01,Orange,0.33,Not Fresh,76,4.34,ST002,Hyderabad,FruityFast,3,329.84,1
2025-01-26,Pineapple,0.45,Not Fresh,94,1.46,ST002,Delhi,AgroSupply,1,137.24,1
2025-01-23,Banana,0.45,Not Fresh,54,2.83,ST002,Delhi,FruityFast,4,152.82,1
2025-01-18,Mango,0.54,Not Fresh,60,2.91,ST002,Mumbai,FruityFast,2,174.60000000000002,1
2025-01-31,Orange,0.79,Fresh,120,3.69,ST003,Hyderabad,DistriFresh,4,442.8,0
2025-01-17,Mango,0.43,Not Fresh,93,1.39,ST004,Bangalore,QuickHarvest,5,129.26999999999998,1
2025-03-24,Apple,0.81,Fresh,199,2.36,ST003,Delhi,DistriFresh,5,469.64,0
2025-03-05,Banana,0.39,Not Fresh,38,2.52,ST002,Delhi,AgroSupply,1,95.76,1
2025-02-08,Orange,0.64,Fresh,115,3.74,ST004,Delhi,QuickHarvest,0,430.1,0
2025-03-09,Mango,0.57,Not Fresh,49,3.84,ST004,Hyderabad,FruityFast,4,188.16,1
2025-01-26,Pineapple,0.71,Fresh,54,3.21,ST004,Bangalore,QuickHarvest,0,173.34,0
2025-01-10,Mango,0.87,Fresh,154,1.91,ST001,Mumbai,QuickHarvest,5,294.14,0
2025-01-07,Apple,0.92,Fresh,94,2.02,ST003,Mumbai,AgroSupply,4,189.88,0
2025-03-17,Banana,0.37,Not Fresh,31,3.02,ST001,Hyderabad,AgroSupply,4,93.62,1
2025-02-28,Orange,0.48,Not Fresh,47,3.53,ST001,Bangalore,DistriFresh,2,165.91,1
2025-02-26,Banana,0.42,Not Fresh,14,2.3,ST002,Bangalore,AgroSupply,5,32.199999999999996,1
2025-01-19,Mango,0.91,Fresh,111,1.91,ST001,Delhi,FruityFast,1,212.01,0
2025-02-06,Pineapple,0.72,Fresh,95,2.22,ST004,Mumbai,DistriFresh,0,210.9,0
2025-02-15,Orange,0.85,Fresh,139,2.64,ST004,Mumbai,FruityFast,2,366.96000000000004,0
2025-01-15,Orange,0.99,Fresh,59,3.06,ST002,Hyderabad,DistriFresh,1,180.54,0
2025-02-15,Orange,0.72,Fresh,139,1.93,ST003,Bangalore,AgroSupply,2,268.27,0
2025-03-17,Pineapple,0.47,Not Fresh,5,3.74,ST002,Bangalore,DistriFresh,3,18.700000000000003,1
2025-02-28,Orange,0.81,Fresh,83,2.64,ST003,Delhi,QuickHarvest,0,219.12,0
2025-03-25,Apple,0.61,Fresh,129,4.3,ST003,Bangalore,AgroSupply,3,554.6999999999999,0
2025-01-08,Pineapple,0.69,Fresh,158,2.71,ST001,Bangalore,FruityFast,0,428.18,0
2025-02-06,Mango,0.49,Not Fresh,62,1.22,ST001,Hyderabad,DistriFresh,0,75.64,1
2025-03-30,Orange,0.52,Not Fresh,27,3.06,ST004,Delhi,QuickHarvest,5,82.62,1
2025-01-05,Banana,0.56,Not Fresh,93,3.97,ST001,Hyderabad,FruityFast,0,369.21000000000004,1
2025-02-15,Apple,0.63,Fresh,196,2.08,ST001,Bangalore,AgroSupply,5,407.68,0
2025-02-10,Apple,0.31,Not Fresh,57,4.06,ST002,Bangalore,FruityFast,1,231.42,1
2025-02-28,Mango,0.95,Fresh,91,1.14,ST001,Hyderabad,QuickHarvest,4,103.74,0
